CNPJ,ESPECIALIDADE,ESTABELECIMENTO
521673000197,Brasileira,Restaurante
531026000166,Brasileira | Cozinha regional,Restaurante
531370000155,Brasileira,Restaurante
533923000109,Brasileira,Bar
534536000197,Brasileira,Restaurante
535370000123,Brasileira | Italiana,Restaurante
537308000170,Brasileira,Restaurante
537732000115,Brasileira,Restaurante
539201000161,Brasileira,Restaurante
543350000102,Brasileira | Cozinha regional | Italiana,Restaurante
543725000126,Brasileira,Restaurante
544689000115,Brasileira | Portuguesa,Restaurante
548851000173,Alemã | Cozinha regional | Italiana,Cafeteria
549973000184,Americana,Restaurante
550709000160,Italiana,Restaurante
553589000155,Alemã,Cafeteria
557897000159,Brasileira,Similar
559243000164,Brasileira,Restaurante
566560000108,Brasileira,Similar
570215000148,Brasileira,Restaurante
571393000193,Brasileira | Cozinha regional,Restaurante
581042000163,Brasileira | Cozinha regional,Restaurante
581042000163,Brasileira | Cozinha regional,Similar
583279000183,Brasileira,Cafeteria
583322000100,Cozinha regional,Restaurante
585801000166,Italiana | Árabe,Restaurante
587852000127,Brasileira | Italiana,Restaurante
588875000156,Italiana | Árabe,Restaurante
591911000130,Brasileira | Portuguesa,Restaurante
593093000105,Brasileira,Restaurante
604538000105,Brasileira,Restaurante
604548000140,Italiana,Restaurante
610350000765,Brasileira,Similar
610350001494,Brasileira,Similar
610350002032,Brasileira,Similar
612961000157,Brasileira | Cozinha regional,Restaurante
613907000126,Brasileira | Árabe,Restaurante
613907000207,Brasileira | Cozinha regional,Restaurante
615661000121,Brasileira,Bar
616101000191,Cozinha regional,Restaurante
616229000155,Italiana,Similar
618304000117,Italiana | Árabe,Restaurante
629777000110,Brasileira | Cozinha regional,Restaurante
630068000154,Italiana | Árabe,Restaurante
632312000118,Cozinha regional | Francesa | Italiana,Restaurante
632569000170,Brasileira,Similar
634053000164,Brasileira,Restaurante
635980000107,Brasileira | Cozinha regional,Similar
638450000104,Brasileira,Restaurante
640451000193,Brasileira,Similar
646891000158,Cozinha regional,Restaurante
649660000106,Brasileira,Restaurante
653110000152,Brasileira,Similar
657782000136,Brasileira | Cozinha regional,Restaurante
659006000175,Chinesa | Japonesa | Tailandesa,Restaurante
660029000108,Chinesa | Italiana,Bar
661214000109,Mexicana,Restaurante
661380000105,Francesa,Restaurante
661844000183,Italiana | Árabe,Restaurante
677525000166,Brasileira,Restaurante
678076000170,Cozinha regional | Italiana,Restaurante
679751000186,Brasileira | Cozinha regional,Cafeteria
683748000136,Brasileira,Restaurante
683748000640,Brasileira,Restaurante
683748000993,Brasileira,Restaurante
683748001299,Brasileira,Restaurante
683748002007,Brasileira,Restaurante
683748002341,Americana | Brasileira,Restaurante
685000000172,Brasileira,Similar
687180000121,Brasileira | Cozinha regional,Restaurante
687681000108,Brasileira | Cozinha regional | Francesa,Restaurante
689454000111,Brasileira,Restaurante
689909000107,Brasileira,Restaurante
689956000142,Brasileira | Cozinha regional,Similar
696194000101,Brasileira,Similar
696194000101,Brasileira | Cozinha regional,Similar
