CNPJ,ESPECIALIDADE
1870006000182,Portuguesa
1874302000151,Brasileira
1880929000115,Brasileira
1882342000145,Americana | Brasileira | Italiana
1887056000172,Italiana
1890074000103,Brasileira
1891245000119,Brasileira
1897733000133,Brasileira
1897870000178,Brasileira | Cozinha regional | Japonesa
1915508000182,Cozinha regional
1920210000160,Brasileira | Cozinha regional
1925183000119,Italiana | Árabe
1925315000102,Brasileira | Cozinha regional
1926391000132,Brasileira
1933217000117,Italiana
1937072000122,Americana
1937526000165,Americana
1938438000188,Argentina | Brasileira | Espanhola
1943113000193,Cozinha regional
1943249000101,Brasileira
1944732000100,Brasileira | Portuguesa
1956420000109,Brasileira | Italiana | Japonesa
1958104000257,Brasileira
1961478000140,Brasileira
1961485000142,Brasileira
1964226000175,Brasileira | Cozinha regional
1964909000122,Brasileira
1980486000134,Brasileira
1986543000192,Italiana
1993616000173,Italiana | Árabe
1999717000151,Brasileira
2001920000150,Brasileira
2003591000186,Brasileira
2003591000348,Brasileira
2003591000429,Brasileira
2005619000114,Chinesa | Japonesa
2010558000183,Brasileira
2019387000153,Brasileira
2020691000110,Brasileira | Árabe
2020796000170,Brasileira | Cozinha regional
2022544000180,Cozinha regional
2025529000195,Brasileira | Cozinha regional
2028716000122,Italiana | Árabe
2029167000453,Brasileira | Portuguesa
2029388000189,Cozinha regional
2030089000164,Portuguesa
2038882000100,Cozinha regional
2041438000143,Cozinha regional
2043634000157,Brasileira | Cozinha regional
2052955000118,Brasileira
2053343000140,Brasileira | Cozinha regional
2059282000128,Italiana | Árabe
2060110000174,Brasileira
2065841000102,Cozinha regional
2066824000190,Brasileira
2071106000101,Francesa
2077272000115,Americana
2077272000387,Americana
2077434000115,Japonesa
2082093000176,Japonesa
2083235000110,Brasileira | Cozinha regional
2090976000128,Italiana
2094228000113,Brasileira
2094823000159,Italiana
2102125000158,Brasileira
2103784000109,Brasileira
2103864000164,Brasileira
2107393000162,Cozinha regional
2108167000104,Brasileira | Cozinha regional
2111074000120,Árabe
2111899000145,Argentina | Cozinha regional | Portuguesa
2111899000226,Argentina | Brasileira | Cozinha regional
2115868000162,Italiana | Árabe
2116307000188,Italiana
2124340000150,Brasileira
2128847000181,Italiana | Árabe
2133024000144,Brasileira
2133024000225,Brasileira
2134781000132,Brasileira | Cozinha regional
2134841000117,Brasileira
2134841000540,Brasileira
2134947000110,Brasileira
2138054000143,Brasileira | Cozinha regional
2138641000132,Brasileira | Cozinha regional
2143616000147,Brasileira | Cozinha regional
2144584000102,Brasileira
2146450000112,Italiana
2147118000172,Brasileira
2147393000196,Brasileira
2149366000152,Brasileira | Italiana
2155609000165,Brasileira | Italiana | Portuguesa
2159441000166,Italiana
2160484000161,Alemã | Brasileira | Cozinha regional
2168315000178,Italiana | Árabe
2168396000106,Cozinha regional
2168952000144,Brasileira | Cozinha regional
2170268000105,Brasileira
2171334000153,Brasileira
2171334000820,Brasileira
2171334000900,Brasileira
2176503000148,Brasileira | Cozinha regional
2178073000101,Brasileira
2178997000108,Asiática
2182271000130,Brasileira
2185091000889,Brasileira
2186748000237,Cozinha regional
2187668000115,Italiana | Árabe
2194948000150,Portuguesa
2200249000176,Cozinha regional
2200688000189,Brasileira
2203830000141,Americana | Brasileira
2203830000222,Americana | Brasileira
2203830000303,Americana | Brasileira
2204203000125,Cozinha regional | Japonesa | Portuguesa
2207617000108,Cozinha regional
2209330000117,Brasileira | Cozinha regional
2210401000100,Espanhola | Japonesa | Portuguesa
2217561000172,Francesa
2219812000158,Cozinha regional
2220657000190,Brasileira
2221407000174,Chinesa | Japonesa
2222434000161,Brasileira
2223966003643,Brasileira | Cozinha regional
2223966004372,Brasileira
2223966004453,Cozinha regional
2223966006588,Brasileira
2223966008017,Brasileira | Portuguesa
2223966009170,Brasileira
2223966010348,Brasileira | Cozinha regional
2223966013010,Cozinha regional
2224005000123,Brasileira | Japonesa
2229101000164,Americana | Brasileira | Cozinha regional
2229143000103,Brasileira
2238702000214,Cozinha regional
2240411000180,Brasileira
2242946000190,Brasileira | Cozinha regional
2244229000105,Brasileira | Mexicana
2247069000140,Brasileira
2247132000229,Brasileira
2249716000152,Americana
2249716000586,Americana
2266042000102,Brasileira
2281214000109,Brasileira
2282183000100,Brasileira | Cozinha regional | Italiana
2286009000136,Chinesa
2292883000186,Brasileira
2294978000139,Italiana | Árabe
2295998000124,Cozinha regional
2301599000129,Brasileira
2307689000127,Brasileira
2308948000134,Brasileira
2309695000113,Brasileira | Espanhola
2311845000123,Brasileira | Cozinha regional
2315727000193,Brasileira | Italiana
2318956000161,Brasileira
2318956000323,Brasileira | Cozinha regional
2318956000404,Brasileira | Cozinha regional
2318956000595,Brasileira | Cozinha regional
2318956000676,Brasileira | Cozinha regional
2318956000757,Brasileira | Cozinha regional
2318956000838,Brasileira | Cozinha regional
2318956000919,Brasileira | Cozinha regional
2318956001133,Brasileira | Cozinha regional
2318956001214,Brasileira | Cozinha regional
2318956001303,Brasileira | Cozinha regional
2318956001486,Brasileira
2319114000124,Brasileira | Cozinha regional
2320561000101,Brasileira
2322244000116,Brasileira
2325010000122,Brasileira
2335500000100,Cozinha regional | Italiana
2343543000137,Brasileira
2352976000159,Brasileira | Portuguesa
2353738000168,Brasileira | Cozinha regional
2353738000591,Brasileira | Cozinha regional
2353738000672,Brasileira
2353738000753,Brasileira | Cozinha regional
2358513000102,Brasileira
2367426000103,Cozinha regional
2369015000157,Brasileira
2372204000189,Brasileira | Cozinha regional
2372308000193,Brasileira | Japonesa
2376227000161,Brasileira | Cozinha regional
2377047000102,Brasileira
2382082000101,Italiana
2382260000102,Argentina
2382980000160,Cozinha regional | Italiana
2385717000124,Brasileira
2388047000108,Cozinha regional
2391612000188,Brasileira
2394979000236,Francesa
2402077000113,Italiana | Árabe
2403403000107,Asiática | Brasileira | Italiana
2403417000120,Brasileira
2413162000187,Brasileira | Cozinha regional | Espanhola
2418222000154,Brasileira
2419765002482,Brasileira
2421598000118,Brasileira
2422440000162,Brasileira
2426919000177,Alemã | Brasileira
2427058000141,Brasileira
2428412000152,Brasileira
2436112000115,Brasileira | Árabe
2441439000185,Argentina | Brasileira | Cozinha regional
2444078000120,Brasileira
2448859000193,Cozinha regional
2451332000118,Brasileira
2455909000160,Brasileira
2456583000195,Portuguesa
2457793000106,Brasileira
2467182000130,Brasileira | Cozinha regional
2469220000194,Brasileira
2472838000103,Brasileira | Cozinha regional
2481828000134,Brasileira | Francesa | Italiana
2484060000152,Brasileira
2487119000166,Alemã | Brasileira | Cozinha regional
2488673000168,Brasileira
2496102000175,Brasileira
2497020000145,Brasileira
2498309000189,Brasileira
2500231000190,Italiana | Árabe
2509372000173,Italiana
2509375000107,Brasileira
2509375000298,Italiana
2511744000104,Brasileira
2511780000160,Italiana
2512110000168,Brasileira
2515642000159,Brasileira
2520126000112,Brasileira | Árabe
2520148000182,Americana
2520148000263,Americana
2520148000697,Americana
2520148000778,Americana
2526318000136,Japonesa
2528298000132,Brasileira
